CURVE,X,Y
1419,290,182.1
1419,299,187.8
1183,0,0.6
1183,1,0.6
1183,10,6.3
1183,20,12.6
1183,30,18.8
1183,70,44
1183,80,50.2
1183,120,75.4
1183,130,81.6
1183,170,106.8
1183,180,113
1183,220,138.2
1183,230,144.4
1183,270,169.6
1183,280,175.8
1183,290,182.1
1183,299,187.8
1625,0,0.6
1625,1,0.6
1625,10,6.3
1625,20,12.6
1625,30,18.8
1625,70,44
1625,80,50.2
1625,120,75.4
1625,130,81.6
1625,170,106.8
1625,180,113
1625,220,138.2
1625,230,144.4
1625,270,169.6
1625,280,175.8
1625,290,182.1
1625,299,187.8
980,0,0.6
980,1,0.6
980,10,6.3
980,20,12.6
980,30,18.8
980,70,44
980,80,50.2
980,120,75.4
980,130,81.6
980,170,106.8
980,180,113
980,220,138.2
980,230,144.4
980,270,169.6
980,280,175.8
980,290,182.1
980,299,187.8
1761,0,0.6
1761,1,0.6
1761,10,6.3
1761,20,12.6
1761,30,18.8
1761,70,44
1761,80,50.2
1761,120,75.4
1761,130,81.6
1761,170,106.8
1761,180,113
1761,220,138.2
1761,230,144.4
1761,270,169.6
1761,280,175.8
1761,290,182.1
1761,299,187.8
904,0,0.6
904,1,0.6
904,10,6.3
904,20,12.6
904,30,18.8
904,70,44
904,80,50.2
904,120,75.4
904,130,81.6
904,170,106.8
904,180,113
904,220,138.2
904,230,144.4
904,270,169.6
904,280,175.8
904,290,182.1
904,299,187.8
787,0,0.6
787,1,0.6
787,10,6.3
787,20,12.6
787,30,18.8
787,70,44
787,80,50.2
787,120,75.4
787,130,81.6
787,170,106.8
787,180,113
787,220,138.2
787,230,144.4
787,270,169.6
787,280,175.8
787,290,182.1
787,299,187.8
1461,0,0.6
1461,1,0.6
1461,10,6.3
1461,20,12.6
1461,30,18.8
1461,70,44
1461,80,50.2
1461,120,75.4
1461,130,81.6
1461,170,106.8
1461,180,113
1461,220,138.2
1461,230,144.4
1461,270,169.6
1461,280,175.8
1461,290,182.1
1461,299,187.8
1120,0,0.6
1120,1,0.6
1120,10,6.3
1120,20,12.6
1120,30,18.8
1120,70,44
1120,80,50.2
1120,120,75.4
1120,130,81.6
1120,170,106.8
1120,180,113
1120,220,138.2
1120,230,144.4
1120,270,169.6
1120,280,175.8
1120,290,182.1
1120,299,187.8
555,0,0.6
555,1,0.6
555,10,6.3
555,20,12.6
555,30,18.8
555,70,44
555,80,50.2
555,120,75.4
555,130,81.6
555,170,106.8
555,180,113
555,220,138.2
555,230,144.4
555,270,169.6
555,280,175.8
555,290,182.1
555,299,187.8
358,0,0.6
358,1,0.6
358,10,6.3
358,20,12.6
358,30,18.8
358,70,44
358,80,50.2
358,120,75.4
358,130,81.6
358,170,106.8
358,180,113
358,220,138.2
358,230,144.4
358,270,169.6
358,280,175.8
358,290,182.1
358,299,187.8
85,0,0.6
85,1,0.6
85,10,6.3
85,20,12.6
85,30,18.8
85,70,44
85,80,50.2
85,120,75.4
85,130,81.6
85,170,106.8
85,180,113
85,220,138.2
85,230,144.4
85,270,169.6
85,280,175.8
85,290,182.1
85,299,187.8
282,0,1
290,0,1
290,5,1
290,6,0
1351,0,0.7
