TRACK,LABEL,METHOD,CURVE
11,feature.Seral.immature,,71
11,feature.Seral.mature,,165
11,feature.Seral.overmature,,166
11,feature.Seral.regenerating,,7
11,feature.Seral.young,,8
11,feature.SpeciesProp.unmanaged.CW,,49
11,feature.SpeciesProp.unmanaged.FDC,,50
11,feature.SpeciesProp.unmanaged.HW,,51
11,feature.Yield.unmanaged.CW,,167
11,feature.Yield.unmanaged.FDC,,168
11,feature.Yield.unmanaged.HW,,169
11,feature.Yield.unmanaged.Total,,170
12,feature.Area.managed,,2
12,feature.Area.og1.CWHvm_FDC_HW_L,,138
12,feature.Area.og1.total,,138
12,feature.Area.og2.CWHvm_FDC_HW_L,,1
12,feature.Area.og2.total,,1
12,feature.QMD.managed.CWHvm_FDC_HW_L,,171
12,feature.Seral.CWHvm_FDC_HW_L.immature,,71
12,feature.Seral.CWHvm_FDC_HW_L.mature,,165
12,feature.Seral.CWHvm_FDC_HW_L.overmature,,166
12,feature.Seral.CWHvm_FDC_HW_L.regenerating,,7
12,feature.Seral.CWHvm_FDC_HW_L.young,,8
12,feature.Seral.immature,,71
12,feature.Seral.mature,,165
12,feature.Seral.overmature,,166
12,feature.Seral.regenerating,,7
12,feature.Seral.young,,8
12,feature.SpeciesProp.managed.CW,,49
12,feature.SpeciesProp.managed.FDC,,50
12,feature.SpeciesProp.managed.HW,,51
12,feature.Yield.managed.CW,,172
12,feature.Yield.managed.FDC,,173
12,feature.Yield.managed.HW,,174
12,feature.Yield.managed.Total,,175
13,feature.Area.managed,,2
13,feature.Area.og1.CWHvm_CW_HW_M,,188
13,feature.Area.og1.total,,188
13,feature.Area.og2.CWHvm_CW_HW_M,,1
13,feature.Area.og2.total,,1
13,feature.QMD.managed.CWHvm_CW_HW_M,,189
13,feature.Seral.CWHvm_CW_HW_M.immature,,4
13,feature.Seral.CWHvm_CW_HW_M.mature,,140
13,feature.Seral.CWHvm_CW_HW_M.overmature,,73
13,feature.Seral.CWHvm_CW_HW_M.regenerating,,7
13,feature.Seral.CWHvm_CW_HW_M.young,,8
13,feature.Seral.immature,,4
13,feature.Seral.mature,,140
13,feature.Seral.overmature,,73
13,feature.Seral.regenerating,,7
13,feature.Seral.young,,8
13,feature.SpeciesProp.managed.CW,,190
13,feature.SpeciesProp.managed.HW,,191
13,feature.Yield.managed.CW,,192
13,feature.Yield.managed.HW,,193
13,feature.Yield.managed.Total,,194
14,feature.Area.managed,,2
14,feature.Area.og1.CWHvm_CW_HW_M,,188
14,feature.Area.og1.total,,188
14,feature.Area.og2.CWHvm_CW_HW_M,,1
14,feature.Area.og2.total,,1
14,feature.QMD.managed.CWHvm_CW_HW_M,,189
14,feature.Seral.CWHvm_CW_HW_M.immature,,4
14,feature.Seral.CWHvm_CW_HW_M.mature,,140
14,feature.Seral.CWHvm_CW_HW_M.overmature,,73
14,feature.Seral.CWHvm_CW_HW_M.regenerating,,7
14,feature.Seral.CWHvm_CW_HW_M.young,,8
14,feature.Seral.immature,,4
14,feature.Seral.mature,,140
14,feature.Seral.overmature,,73
14,feature.Seral.regenerating,,7
14,feature.Seral.young,,8
14,feature.SpeciesProp.managed.CW,,11
14,feature.SpeciesProp.managed.FDC,,9
14,feature.SpeciesProp.managed.HW,,10
14,feature.Yield.managed.CW,,201
14,feature.Yield.managed.FDC,,202
14,feature.Yield.managed.HW,,203
14,feature.Yield.managed.Total,,194
15,feature.Area.og1.CWHvm_HW_FDC_H,,101
15,feature.Area.og1.total,,101
15,feature.Area.og2.CWHvm_HW_FDC_H,,1
15,feature.Area.og2.total,,1
15,feature.Area.unmanaged,,2
15,feature.QMD.unmanaged.CWHvm_HW_FDC_H,,207
15,feature.Seral.CWHvm_HW_FDC_H.immature,,46
15,feature.Seral.CWHvm_HW_FDC_H.mature,,47
15,feature.Seral.CWHvm_HW_FDC_H.overmature,,48
15,feature.Seral.CWHvm_HW_FDC_H.regenerating,,7
15,feature.Seral.CWHvm_HW_FDC_H.young,,8
15,feature.Seral.immature,,46
15,feature.Seral.mature,,47
15,feature.Seral.overmature,,48
15,feature.Seral.regenerating,,7
15,feature.Seral.young,,8
15,feature.SpeciesProp.unmanaged.CW,,11
15,feature.SpeciesProp.unmanaged.FDC,,9
15,feature.SpeciesProp.unmanaged.HW,,10
15,feature.Yield.unmanaged.CW,,208
15,feature.Yield.unmanaged.FDC,,209
15,feature.Yield.unmanaged.HW,,210
15,feature.Yield.unmanaged.Total,,211
16,feature.Area.managed,,2
16,feature.Area.og1.CWHvm_HW_FDC_H,,101
16,feature.Area.og1.total,,101
16,feature.Area.og2.CWHvm_HW_FDC_H,,1
16,feature.Area.og2.total,,1
16,feature.QMD.managed.CWHvm_HW_FDC_H,,102
16,feature.Seral.CWHvm_HW_FDC_H.immature,,46
16,feature.Seral.CWHvm_HW_FDC_H.mature,,47
