CURVE,X,Y
1710,80,353
1710,90,402.4
1710,100,449.6
1710,110,491.2
1710,120,530.2
1710,130,565.9
1710,140,599.1
1123,79,0
1123,80,353
1123,90,402.4
1123,100,449.6
1123,110,491.2
1123,120,530.2
1123,130,565.9
1123,140,599.1
500,79,0
500,80,353
500,90,402.4
500,100,449.6
500,110,491.2
500,120,530.2
500,130,565.9
500,140,599.1
1620,79,0
1620,80,138.9
1620,90,158.3
1620,100,176.8
1620,110,193.3
1620,120,208.6
1620,130,222.7
1620,140,235.7
659,79,0
659,80,138.9
659,90,158.3
659,100,176.8
659,110,193.3
659,120,208.6
659,130,222.7
659,140,235.7
1923,79,0
1923,80,138.9
1923,90,158.3
1923,100,176.8
1923,110,193.3
1923,120,208.6
1923,130,222.7
1923,140,235.7
313,79,0
313,80,138.9
313,90,158.3
313,100,176.8
313,110,193.3
313,120,208.6
313,130,222.7
313,140,235.7
1866,79,0
1866,80,406.9
1866,90,464.4
1866,100,516.5
1866,110,564.5
1866,120,609.5
1866,130,650
1597,79,0
1597,80,406.9
1597,90,464.4
1597,100,516.5
1597,110,564.5
1597,120,609.5
1597,130,650
1451,79,0
1451,80,406.9
1451,90,464.4
1451,100,516.5
1451,110,564.5
1451,120,609.5
1451,130,650
542,79,0
542,80,406.9
542,90,464.4
542,100,516.5
542,110,564.5
542,120,609.5
542,130,650
464,79,0
464,80,422.6
464,90,481.8
464,100,538.2
464,110,588.3
464,120,634.8
464,130,677.7
464,140,717.4
328,79,0
328,80,422.6
328,90,481.8
328,100,538.2
328,110,588.3
328,120,634.8
328,130,677.7
328,140,717.4
2085,79,0
2085,80,406.9
2085,90,464.4
2085,100,516.5
2085,110,564.5
2085,120,609.5
2085,130,650
1667,79,0
1667,80,406.9
1667,90,464.4
1667,100,516.5
1667,110,564.5
1667,120,609.5
1667,130,650
1054,79,0
1054,80,406.9
1054,90,464.4
1054,100,516.5
1054,110,564.5
1054,120,609.5
1054,130,650
294,79,0
294,80,406.9
294,90,464.4
294,100,516.5
294,110,564.5
294,120,609.5
294,130,650
1347,79,0
1347,80,422.6
1347,90,481.8
1347,100,538.2
1347,110,588.3
1347,120,634.8
1347,130,677.7
1347,140,717.4
1116,79,0
1116,80,428.6
1116,90,488.7
1116,100,545.9
1116,110,596.5
1116,120,643.8
1116,130,687.2
1116,140,727.5
490,79,0
490,80,428.6
490,90,488.7
490,100,545.9
490,110,596.5
490,120,643.8
490,130,687.2
490,140,727.5
1719,79,0
1719,80,504.2
1719,90,574.9
1719,100,642.2
1719,110,701.8
1719,120,757.4
1719,130,808.5
1719,140,855.9
1117,79,0
1117,80,504.2
1117,90,574.9
1117,100,642.2
1117,110,701.8
1117,120,757.4
1117,130,808.5
1117,140,855.9
717,79,0
717,80,505.6
717,90,577.2
717,100,642
717,110,701.7
717,120,757.5
717,130,807.9
1589,79,0
1589,80,505.6
1589,90,577.2
1589,100,642
1589,110,701.7
1589,120,757.5
1589,130,807.9
1444,79,0
1444,80,505.6
1444,90,577.2
1444,100,642
1444,110,701.7
1444,120,757.5
1444,130,807.9
2077,79,0
2077,80,505.6
2077,90,577.2
2077,100,642
2077,110,701.7
2077,120,757.5
2077,130,807.9
1860,79,0
1860,80,505.6
1860,90,577.2
1860,100,642
1860,110,701.7
1860,120,757.5
1860,130,807.9
1001,79,0
1001,80,505.6
1001,90,577.2
1001,100,642
1001,110,701.7
1001,120,757.5
1001,130,807.9
533,79,0
533,80,505.6
533,90,577.2
533,100,642
533,110,701.7
533,120,757.5
533,130,807.9
1701,79,0
1701,80,504.2
1701,90,574.9
1701,100,642.2
1701,110,701.8
1701,120,757.4
1701,130,808.5
1701,140,855.9
491,79,0
491,80,504.2
491,90,574.9
491,100,642.2
491,110,701.8
491,120,757.4
491,130,808.5
491,140,855.9
1891,79,0
1891,80,464.9
1891,90,530
1891,100,592.1
1891,110,647.1
1891,120,698.3
1891,130,745.4
1891,140,789.2
1621,79,0
1621,80,464.9
1621,90,530
1621,100,592.1
1621,110,647.1
1621,120,698.3
1621,130,745.4
1621,140,789.2
409,79,0
409,80,464.9
409,90,530
409,100,592.1
409,110,647.1
409,120,698.3
409,130,745.4
409,140,789.2
660,79,0
660,80,464.9
660,90,530
660,100,592.1
660,110,647.1
660,120,698.3
660,130,745.4
660,140,789.2
314,79,0
314,80,464.9
314,90,530
314,100,592.1
314,110,647.1
314,120,698.3
314,130,745.4
314,140,789.2
661,79,0
661,80,603.8
661,90,688.3
661,100,768.9
661,110,840.4
661,120,906.9
661,130,968.1
661,140,1024.9
410,79,0
410,80,603.8
410,90,688.3
410,100,768.9
410,110,840.4
410,120,906.9
410,130,968.1
410,140,1024.9
1880,79,0
1880,80,603.8
1880,90,688.3
1880,100,768.9
1880,110,840.4
1880,120,906.9
1880,130,968.1
1880,140,1024.9
1083,79,0
1083,80,603.8
1083,90,688.3
1083,100,768.9
1083,110,840.4
1083,120,906.9
1083,130,968.1
1083,140,1024.9
1892,79,0
1892,80,603.8
1892,90,688.3
1892,100,768.9
1892,110,840.4
1892,120,906.9
1892,130,968.1
1892,140,1024.9
1348,79,0
1348,80,603.8
1348,90,688.3
1348,100,768.9
1348,110,840.4
1348,120,906.9
1348,130,968.1
1348,140,1024.9
890,79,0
890,80,603.8
890,90,688.3
890,100,768.9
890,110,840.4
890,120,906.9
890,130,968.1
890,140,1024.9
1622,79,0
1622,80,603.8
1622,90,688.3
1622,100,768.9
1622,110,840.4
1622,120,906.9
1622,130,968.1
1622,140,1024.9
465,79,0
465,80,603.8
465,90,688.3
465,100,768.9
465,110,840.4
465,120,906.9
465,130,968.1
465,140,1024.9
315,79,0
315,80,603.8
315,90,688.3
315,100,768.9
315,110,840.4
315,120,906.9
315,130,968.1
315,140,1024.9
1055,79,0
1055,80,581.2
1055,90,663.4
1055,100,737.9
1055,110,806.5
1055,120,870.7
1055,130,928.6
718,79,0
718,80,581.2
718,90,663.4
718,100,737.9
718,110,806.5
718,120,870.7
718,130,928.6
1661,79,0
1661,80,581.2
1661,90,663.4
1661,100,737.9
1661,110,806.5
1661,120,870.7
1661,130,928.6
1002,79,0
1002,80,581.2
1002,90,663.4
1002,100,737.9
1002,110,806.5
1002,120,870.7
1002,130,928.6
534,79,0
534,80,581.2
534,90,663.4
534,100,737.9
534,110,806.5
534,120,870.7
534,130,928.6
1445,79,0
1445,80,581.2
1445,90,663.4
1445,100,737.9
1445,110,806.5
1445,120,870.7
1445,130,928.6
1590,79,0
1590,80,581.2
1590,90,663.4
1590,100,737.9
1590,110,806.5
1590,120,870.7
1590,130,928.6
283,79,0
283,80,581.2
283,90,663.4
283,100,737.9
283,110,806.5
283,120,870.7
283,130,928.6
1660,79,0
1660,80,505.6
1660,90,577.2
1660,100,642
1660,110,701.7
1660,120,757.5
1660,130,807.9
282,79,0
282,80,505.6
282,90,577.2
282,100,642
282,110,701.7
282,120,757.5
282,130,807.9
1949,79,0
1949,80,642.4
1949,90,728.8
1949,100,811.9
1650,79,0
1650,80,642.4
1650,90,728.8
1650,100,811.9
1787,79,0
1787,80,917.8
1787,90,1041.1
1787,100,1159.9
1640,79,0
1640,80,917.8
1640,90,1041.1
1640,100,1159.9
1638,79,0
1638,80,706.7
1638,90,801.6
1638,100,893.1
1643,79,0
1643,101,0
1643,102,1
721,79,0
721,130,0
721,131,1
286,79,0
286,130,0
286,131,1
319,79,0
319,140,0
319,141,1
231,79,0
231,140,0
231,141,1
720,79,0
720,100,0
720,101,1
720,130,1
720,131,0
318,79,0
318,100,0
318,101,1
318,140,1
318,141,0
1642,79,0
1642,100,0
1642,101,1
1642,102,0
285,79,0
285,100,0
285,101,1
285,130,1
285,131,0
230,79,0
230,100,0
230,101,1
230,140,1
230,141,0
227,79,0
227,80,603.8
227,90,688.3
227,100,768.9
227,110,840.4
227,120,906.9
227,130,968.1
227,140,1024.9
1748,79,0
1748,80,422.6
1748,90,481.8
1748,100,538.2
1748,110,588.3
1748,120,634.8
1748,130,677.7
1748,140,717.4
1082,79,0
1082,80,422.6
1082,90,481.8
1082,100,538.2
1082,110,588.3
1082,120,634.8
1082,130,677.7
1082,140,717.4
417,79,0
417,80,422.6
417,90,481.8
417,100,538.2
417,110,588.3
417,120,634.8
417,130,677.7
417,140,717.4
1879,79,0
1879,80,422.6
1879,90,481.8
1879,100,538.2
1879,110,588.3
1879,120,634.8
1879,130,677.7
1879,140,717.4
889,79,0
889,80,422.6
889,90,481.8
889,100,538.2
889,110,588.3
889,120,634.8
889,130,677.7
889,140,717.4
226,79,0
226,80,422.6
226,90,481.8
226,100,538.2
226,110,588.3
226,120,634.8
226,130,677.7
226,140,717.4
1345,79,0
1345,80,120.8
1345,90,137.7
1345,100,153.8
1345,110,168.1
1345,120,181.4
1345,130,193.6
1345,140,205
1746,79,0
1746,80,120.8
1746,90,137.7
1746,100,153.8
1746,110,168.1
1746,120,181.4
1746,130,193.6
1746,140,205
1896,79,0
1896,80,120.8
1896,90,137.7
1896,100,153.8
1896,110,168.1
1896,120,181.4
1896,130,193.6
1896,140,205
887,79,0
887,80,120.8
887,90,137.7
887,100,153.8
887,110,168.1
887,120,181.4
887,130,193.6
887,140,205
1080,79,0
1080,80,120.8
1080,90,137.7
1080,100,153.8
1080,110,168.1
1080,120,181.4
1080,130,193.6
1080,140,205
224,79,0
224,80,120.8
224,90,137.7
224,100,153.8
224,110,168.1
224,120,181.4
224,130,193.6
224,140,205
96,89,0
1832,89,0
1832,90,0.1
1770,89,0
1770,90,0.15
377,89,0
377,90,0.1
639,89,0
639,90,0.19
368,89,0
368,90,0.19
184,89,0
184,90,0.15
98,89,0
98,90,0.1
1831,89,0
1831,90,0.2
604,89,0
604,90,0.25
376,89,0
376,90,0.2
1762,89,0
1762,90,0.3
1771,89,0
1771,90,0.6
596,89,0
596,90,0.3
186,89,0
186,90,0.25
185,89,0
185,90,0.6
1557,89,0
1557,90,0.7
595,89,0
595,90,0.7
640,89,0
640,90,0.81
369,89,0
369,90,0.81
99,89,0
99,90,0.7
97,89,0
97,90,0.2
2022,89,0
2022,90,28.6
2022,100,29.8
2022,110,30.9
2022,120,31.9
2022,140,33.7
2022,150,34.7
2022,160,35.5
1761,89,0
1761,90,28.6
1761,100,29.8
1761,110,30.9
1761,120,31.9
1761,140,33.7
1761,150,34.7
1761,160,35.5
1492,89,0
1492,90,28.6
1492,100,29.8
1492,110,30.9
1492,120,31.9
1492,140,33.7
1492,150,34.7
1492,160,35.5
829,89,0
829,90,28.6
829,100,29.8
829,110,30.9
829,120,31.9
829,140,33.7
829,150,34.7
829,160,35.5
711,89,0
711,90,28.6
711,100,29.8
711,110,30.9
711,120,31.9
711,140,33.7
711,150,34.7
711,160,35.5
592,89,0
592,90,28.6
592,100,29.8
592,110,30.9
592,120,31.9
592,140,33.7
592,150,34.7
592,160,35.5
187,89,0
187,90,1
181,89,0
181,90,1
181,110,1
181,111,0
636,89,0
636,90,29.7
636,100,30.7
636,120,32.9
636,130,33.9
636,150,35.7
636,160,36.5
636,200,39.3
636,210,39.9
636,220,40.4
367,89,0
367,90,29.7
367,100,30.7
367,120,32.9
367,130,33.9
367,150,35.7
367,160,36.5
367,200,39.3
367,210,39.9
367,220,40.4
180,89,0
180,90,28.6
180,100,29.8
180,110,30.9
180,120,31.9
180,140,33.7
180,150,34.7
180,160,35.5
100,89,0
100,90,1
93,89,0
93,90,1
93,110,1
93,111,0
1556,89,0
1556,90,29.7
1556,100,30.7
1556,120,32.9
1556,130,33.9
1556,150,35.7
1556,160,36.5
1556,200,39.3
1556,210,39.9
1556,220,40.4
374,89,0
374,90,48.5
374,100,54.4
374,110,59.9
374,120,65
374,130,69.7
374,140,73.8
374,150,77.6
374,160,81.1
374,170,84.3
374,180,87.2
374,190,89.9
374,200,92.2
374,210,94.4
374,220,96.3
1824,89,0
1824,90,29.7
1824,100,30.7
1824,120,32.9
1824,130,33.9
1824,150,35.7
1824,160,36.5
1824,200,39.3
1824,210,39.9
1824,220,40.4
92,89,0
92,90,29.7
92,100,30.7
92,120,32.9
92,130,33.9
92,150,35.7
92,160,36.5
92,200,39.3
92,210,39.9
92,220,40.4
1829,89,0
1829,90,48.5
1829,100,54.4
1829,110,59.9
1829,120,65
1829,130,69.7
1829,140,73.8
1829,150,77.6
1829,160,81.1
1829,170,84.3
1829,180,87.2
1829,190,89.9
1829,200,92.2
1829,210,94.4
1829,220,96.3
1767,89,0
1767,90,66.6
1767,100,75.4
1767,110,83.4
1767,120,90.9
1767,130,97.8
1767,140,104.1
1767,150,109.8
1767,160,115
2058,89,0
2058,90,92.2
2058,100,103.4
2058,110,113.8
2058,120,123.6
2058,130,132.4
2058,140,140.3
2058,150,147.4
2058,160,154.1
2058,170,160.1
2058,180,165.6
2058,190,170.8
2058,200,175.2
2058,210,179.3
2058,220,183
1821,89,0
1821,90,92.2
1821,100,103.4
1821,110,113.8
1821,120,123.6
1821,130,132.4
1821,140,140.3
1821,150,147.4
1821,160,154.1
1821,170,160.1
1821,180,165.6
1821,190,170.8
1821,200,175.2
1821,210,179.3
1821,220,183
633,89,0
633,90,92.2
633,100,103.4
633,110,113.8
633,120,123.6
633,130,132.4
633,140,140.3
633,150,147.4
633,160,154.1
633,170,160.1
633,180,165.6
633,190,170.8
633,200,175.2
633,210,179.3
633,220,183
2064,89,0
2064,90,97.1
2064,100,108.8
2064,110,119.8
2064,120,130.1
2064,130,139.4
2064,140,147.7
2064,150,155.2
2064,160,162.2
2064,170,168.6
2064,180,174.3
2064,190,179.7
2064,200,184.5
2064,210,188.8
2064,220,192.6
373,89,0
373,90,97.1
373,100,108.8
373,110,119.8
373,120,130.1
373,130,139.4
373,140,147.7
373,150,155.2
373,160,162.2
373,170,168.6
373,180,174.3
373,190,179.7
373,200,184.5
373,210,188.8
373,220,192.6
364,89,0
364,90,92.2
364,100,103.4
364,110,113.8
364,120,123.6
364,130,132.4
364,140,140.3
364,150,147.4
364,160,154.1
364,170,160.1
364,180,165.6
364,190,170.8
364,200,175.2
364,210,179.3
364,220,183
601,89,0
601,90,66.6
601,100,75.4
601,110,83.4
601,120,90.9
601,130,97.8
601,140,104.1
601,150,109.8
601,160,115
