AU,Age,Yield,Height,DBHq,TPH,GrossYield,CrownCover,MAI,BasalArea000,DBHg000,SPH000,StemCount000,StemCount125,StemCount175
21003,40,22.3,11.9,,,38.5,60.2,0.559,8.8,13.6,604.6,604.6,360.6,45.8
21003,50,69.7,14.7,,,88.0,68.0,1.393,15.8,18.2,599.7,599.7,553.7,342.5
21003,60,119.5,17.2,,,141.7,69.9,1.992,21.4,21.3,596.4,596.4,579.3,471.2
21003,70,168.7,19.4,,,195.4,70.3,2.41,26.1,23.6,593.2,593.2,582.9,521.9
21003,80,215.8,21.3,,,247.3,70.1,2.697,30.0,25.4,589.7,589.7,581.7,538.7
21003,90,259.0,23.1,,,295.3,69.8,2.878,33.2,26.8,585.9,585.9,578.8,542.6
21003,100,303.4,24.6,,,344.9,69.4,3.034,36.2,28.1,581.2,581.2,575.0,542.6
21003,110,347.5,26.0,,,394.6,69.0,3.159,39.0,29.3,576.0,576.0,570.9,541.2
21003,120,386.2,27.2,,,438.9,68.7,3.218,41.4,30.3,570.6,570.6,566.5,539.0
21003,130,421.1,28.4,,,479.3,68.3,3.239,43.4,31.2,565.1,565.1,561.9,536.0
21003,140,452.5,29.4,,,516.4,67.9,3.232,45.2,32.0,559.7,559.7,557.3,532.9
21003,150,484.9,30.3,,,555.3,67.6,3.233,46.8,32.7,553.0,553.0,550.9,528.7
21003,160,513.4,31.1,,,590.2,67.2,3.209,48.2,33.4,546.6,546.6,544.7,524.6
21003,170,538.9,31.9,,,622.1,66.8,3.17,49.5,34.0,540.4,540.4,538.8,520.5
21003,180,562.3,32.6,,,652.4,66.5,3.124,50.5,34.6,532.6,532.6,531.2,514.9
21003,190,583.5,33.3,,,680.5,66.1,3.071,51.3,35.2,524.9,524.9,523.7,509.2
21003,200,602.5,33.9,,,706.5,65.7,3.013,52.1,35.7,517.5,517.5,516.5,503.7
21003,210,619.7,34.5,,,730.6,65.4,2.951,52.8,36.2,510.5,510.5,509.6,498.4
21003,220,634.6,35.0,,,752.7,65.0,2.884,53.2,36.6,502.9,502.9,502.1,491.8
21003,230,647.9,35.5,,,773.6,64.6,2.817,53.6,37.1,495.0,495.0,494.3,484.6
21003,240,659.9,35.9,,,793.0,64.3,2.749,54.0,37.5,487.5,487.5,486.8,477.7
21003,250,670.6,36.3,,,811.1,63.9,2.682,54.2,37.9,480.3,480.3,479.7,471.2
21003,260,680.2,36.7,,,828.0,63.5,2.616,54.5,38.2,473.5,473.5,472.9,464.8
21003,270,688.8,37.1,,,843.8,63.2,2.551,54.6,38.6,466.8,466.8,466.3,458.8
21003,280,698.1,37.4,,,860.8,62.8,2.493,54.8,38.9,460.3,460.3,459.8,452.5
