BLOCK,DELTA,AGE,TYPE,TREATMENT
163,300,96,MANAGED,CC
164,51,158,MANAGED,CC
164,160,109,MANAGED,CC
164,280,120,MANAGED,CC
165,11,138,MANAGED,CC
165,160,149,MANAGED,CC
165,270,110,MANAGED,CC
166,220,267,MANAGED,CC
167,41,98,MANAGED,CC
167,129,88,MANAGED,CC
167,219,90,MANAGED,CC
168,25,132,MANAGED,CC
168,121,96,MANAGED,CC
168,210,89,MANAGED,CC
168,300,90,MANAGED,CC
169,31,88,MANAGED,CC
169,120,89,MANAGED,CC
169,220,100,MANAGED,CC
170,43,146,MANAGED,CC
170,141,98,MANAGED,CC
170,230,89,MANAGED,CC
172,71,318,MANAGED,CC
172,250,179,MANAGED,CC
173,12,189,MANAGED,CC
173,102,90,MANAGED,CC
173,207,105,MANAGED,CC
173,299,92,MANAGED,CC
175,41,98,MANAGED,CC
175,131,90,MANAGED,CC
175,220,89,MANAGED,CC
176,1,128,MANAGED,CC
176,90,89,MANAGED,CC
176,225,135,MANAGED,CC
177,1,128,MANAGED,CC
177,101,100,MANAGED,CC
177,210,109,MANAGED,CC
177,300,90,MANAGED,CC
178,61,118,MANAGED,CC
178,161,100,MANAGED,CC
178,260,99,MANAGED,CC
180,71,118,MANAGED,CC
180,180,109,MANAGED,CC
180,300,120,MANAGED,CC
181,138,195,MANAGED,CC
181,295,157,MANAGED,CC
182,21,148,MANAGED,CC
182,150,129,MANAGED,CC
182,290,140,MANAGED,CC
183,99,146,MANAGED,CC
183,199,100,MANAGED,CC
184,22,79,MANAGED,CC
184,112,90,MANAGED,CC
184,190,78,MANAGED,CC
184,270,80,MANAGED,CC
185,81,118,MANAGED,CC
185,190,109,MANAGED,CC
185,290,100,MANAGED,CC
187,61,138,MANAGED,CC
187,190,129,MANAGED,CC
187,280,90,MANAGED,CC
188,54,101,MANAGED,CC
188,159,105,MANAGED,CC
188,267,108,MANAGED,CC
189,64,111,MANAGED,CC
189,176,112,MANAGED,CC
189,278,102,MANAGED,CC
190,130,177,MANAGED,CC
190,238,108,MANAGED,CC
191,63,120,MANAGED,CC
191,175,112,MANAGED,CC
191,277,102,MANAGED,CC
192,47,104,MANAGED,CC
192,142,95,MANAGED,CC
192,250,108,MANAGED,CC
193,31,88,MANAGED,CC
193,142,111,MANAGED,CC
193,232,90,MANAGED,CC
196,54,121,MANAGED,CC
196,185,131,MANAGED,CC
196,275,90,MANAGED,CC
197,1,128,MANAGED,CC
197,90,89,MANAGED,CC
197,225,135,MANAGED,CC
198,53,100,MANAGED,CC
198,170,117,MANAGED,CC
198,269,99,MANAGED,CC
199,21,178,MANAGED,CC
199,150,129,MANAGED,CC
199,290,140,MANAGED,CC
200,12,249,MANAGED,CC
200,120,108,MANAGED,CC
200,250,130,MANAGED,CC
202,30,87,MANAGED,CC
202,144,114,MANAGED,CC
202,234,90,MANAGED,CC
203,51,128,MANAGED,CC
203,160,109,MANAGED,CC
203,280,120,MANAGED,CC
204,24,81,MANAGED,CC
204,121,97,MANAGED,CC
204,210,89,MANAGED,CC
205,51,158,MANAGED,CC
205,160,109,MANAGED,CC
205,280,120,MANAGED,CC
206,95,202,MANAGED,CC
206,220,125,MANAGED,CC
207,26,83,MANAGED,CC
207,110,84,MANAGED,CC
207,203,93,MANAGED,CC
207,288,85,MANAGED,CC
208,72,119,MANAGED,CC
208,186,114,MANAGED,CC
208,298,112,MANAGED,CC
210,10,137,MANAGED,CC
210,160,150,MANAGED,CC
210,270,110,MANAGED,CC
211,61,188,MANAGED,CC
211,170,109,MANAGED,CC
211,285,115,MANAGED,CC
212,10,87,MANAGED,CC
212,116,106,MANAGED,CC
212,227,111,MANAGED,CC
213,31,88,MANAGED,CC
213,110,79,MANAGED,CC
213,205,95,MANAGED,CC
217,130,187,MANAGED,CC
217,300,170,MANAGED,CC
218,14,141,MANAGED,CC
218,152,138,MANAGED,CC
218,240,88,MANAGED,CC
